text,label
"WARNING!!! Your account may be hacked 😨","fear"
"Hurry!! Offer ends in 5 minutes ⏳","urgency"
"OMG 😱 This hidden trick shocked everyone!","clickbait"
"Your phone is infected with viruses ⚠️","fear"
"Claim your reward now 🎁 before it disappears!","urgency"
"You won’t believe what this student discovered 🤯","clickbait"
"Security alert 🚨 Suspicious login detected.","fear"
"Last chance!!! Register now 🔥","urgency"
"This unbelievable hack is breaking the internet 🌍","clickbait"
"Your private photos may be leaked online 😟","fear"
"If you really care about your safety, update your password today.","fear"
"Everyone in college is talking about this new trend.","clickbait"
"Don’t wait until the last minute to submit your form.","urgency"
"Spending too much time online can affect sleep quality.","neutral"
"Many fake messages try to create panic to get quick responses.","fear"
"Students should verify online information before sharing it.","neutral"
"People often click sensational headlines without checking facts.","clickbait"
"Please complete the registration process before tomorrow evening.","urgency"
"Healthy digital habits can improve concentration and productivity.","neutral"
"Some online posts are designed to emotionally pressure users into reacting quickly.","fear"
"If you don’t share this, you don’t care about others 😔","guilt"
"Good students always help others by forwarding important messages","guilt"
"Everyone is doing their part, why are you ignoring this?","guilt"
"Only selfish people skip messages like this","guilt"
"Your silence means you don’t support this cause","guilt"
"If you were a good friend, you would share this immediately","guilt"
"People are suffering, and you are just scrolling","guilt"
"Don’t be the reason someone misses this opportunity","guilt"
"Real supporters always act, not ignore messages","guilt"
"Others are helping, but you are doing nothing 😔","guilt"
"If you truly care, you will forward this message","guilt"
"Ignoring this means you don’t value your friends","guilt"
"Be responsible and spread awareness by sharing this","guilt"
"You would feel guilty if something bad happens and you didn’t share","guilt"
"Don’t stay silent when others need your help","guilt"
"A good person would not ignore this message","guilt"
"Imagine if this happened to your family and nobody helped","guilt"
"You are the only one who can help by sharing this","guilt"
"Think about the people who are counting on you","guilt"
"If you ignore this, you are part of the problem","guilt"
"Your account will be suspended today!","fear"
"Warning! Unauthorized login detected in your account.","fear"
"Your bank account is at risk.","fear"
"Your mobile may contain harmful viruses.","fear"
"Someone tried to access your personal information.","fear"
"Your payment has failed. Verify immediately.","fear"
"Your social media account may be hacked.","fear"
"Your data could be leaked online.","fear"
"Security alert! Suspicious activity found.","fear"
"Your device protection has expired.","fear"
"Your account will be deleted permanently.","fear"
"Your password is no longer secure.","fear"
"Immediate security check required.","fear"
"Your online privacy is in danger.","fear"
"Your number has been selected for investigation.","fear"
"Your account access is temporarily blocked.","fear"
"Virus detected on your phone.","fear"
"Your information may be stolen.","fear"
"Fraudulent activity detected in your wallet.","fear"
"Someone may misuse your account details.","fear"
"Act now before the offer expires!","urgency"
"Claim your reward before midnight!","urgency"
"Limited time opportunity available now!","urgency"
"Verify your account immediately.","urgency"
"Complete the payment within 5 minutes.","urgency"
"Update your details right now.","urgency"
"Hurry! Only a few spots remaining.","urgency"
"Submit your response today itself.","urgency"
"Download the app immediately.","urgency"
"Register now to avoid missing benefits.","urgency"
"Click quickly to unlock your surprise reward.","urgency"
"Don’t miss this chance!","urgency"
"Last warning! Take action immediately.","urgency"
"Your reward will expire soon.","urgency"
"Limited stock available today only.","urgency"
"Complete verification immediately to continue.","urgency"
"Respond now to secure your account.","urgency"
"Offer valid for the next 10 minutes.","urgency"
"Join immediately before registration closes.","urgency"
"Urgent action required from your side.","urgency"
"You won’t believe what happened next!","clickbait"
"This secret trick shocked everyone online!","clickbait"
"Doctors hate this simple method!","clickbait"
"This video broke the internet!","clickbait"
"One small trick changed his entire life.","clickbait"
"The truth behind this viral news will shock you.","clickbait"
"Click here to discover unbelievable facts.","clickbait"
"This hidden feature is amazing!","clickbait"
"Nobody expected this result!","clickbait"
"The internet is going crazy over this video.","clickbait"
"You are using your phone the wrong way!","clickbait"
"This simple hack will surprise you.","clickbait"
"What happened after this will amaze you.","clickbait"
"The secret finally revealed!","clickbait"
"You cannot ignore this trending story.","clickbait"
"This one trick made him rich overnight.","clickbait"
"People are shocked after seeing this.","clickbait"
"This unexpected discovery changed everything.","clickbait"
"The answer will leave you speechless.","clickbait"
"Internet users can’t stop talking about this.","clickbait"
"Meeting starts at 10 AM tomorrow.","neutral"
"Please bring your ID card.","neutral"
"Class timings have been updated.","neutral"
"Your order has been delivered successfully.","neutral"
"The assignment deadline is next Monday.","neutral"
"Lunch break starts at 1 PM.","neutral"
"Thank you for your participation.","neutral"
"The event will begin shortly.","neutral"
"Your registration has been completed.","neutral"
"Please attend the workshop tomorrow.","neutral"
"The bus will arrive in 15 minutes.","neutral"
"Water supply will resume by evening.","neutral"
"Your package is on the way.","neutral"
"The seminar starts at 2 PM.","neutral"
"Kindly check the notice board.","neutral"
"Results will be announced tomorrow.","neutral"
"Please wear your ID badge during the event.","neutral"
"The office will remain closed on Sunday.","neutral"
"Your feedback has been recorded successfully.","neutral"
"Dinner will be served at 8 PM.","neutral"

"Act now!","urgency"
"Hurry up!","urgency"
"Limited offer!","urgency"
"Respond quickly!","urgency"
"Claim today!","urgency"
"Warning alert!","fear"
"Virus detected!","fear"
"Account hacked!","fear"
"Security risk!","fear"
"Danger ahead!","fear"
"Shocking secret!","clickbait"
"Unbelievable trick!","clickbait"
"Hidden truth!","clickbait"
"Viral discovery!","clickbait"
"Amazing reveal!","clickbait"
"Please support us.","guilt"
"Help others now.","guilt"
"Don't ignore this.","guilt"
"Care about people.","guilt"
"Share this please.","guilt"
"Class at 6 PM.","neutral"
"Meeting tomorrow.","neutral"
"Assignment submitted.","neutral"
"Bus arriving soon.","neutral"
"Lunch starts now.","neutral"

